2025-11-12 17:34:55 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-11-12 17:34:55 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: paraphrase-multilingual-MiniLM-L12-v2
2025-11-12 17:35:01 | INFO | BotLogger | 🚀 BOT INICIADO CORRECTAMENTE
2025-11-12 17:35:01 | INFO | BotLogger | 📂 Sistema de logging activo en logs/bot.log
2025-11-12 17:36:57 | INFO | BotLogger | 🧾 Analizando imagen recibida con Groq
2025-11-12 17:36:59 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-11-12 17:44:18 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-11-12 17:44:18 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: paraphrase-multilingual-MiniLM-L12-v2
2025-11-12 17:44:23 | INFO | BotLogger | 🚀 BOT INICIADO CORRECTAMENTE
2025-11-12 17:44:23 | INFO | BotLogger | 📂 Sistema de logging activo en logs/bot.log
2025-11-12 17:44:32 | INFO | BotLogger | Analizando pregunta con Groq: hola
2025-11-12 17:44:33 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-11-12 17:44:47 | INFO | BotLogger | Analizando pregunta con Groq: que es el amor?
2025-11-12 17:44:47 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2025-11-12 17:44:47 | INFO | groq._base_client | Retrying request to /openai/v1/chat/completions in 5.000000 seconds
2025-11-12 17:44:53 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-11-12 17:45:32 | INFO | BotLogger | Analizando pregunta con Groq: que es el tiempo?
2025-11-12 17:45:33 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-11-12 17:46:10 | INFO | BotLogger | Analizando pregunta con Groq: que te gusta hacer?
2025-11-12 17:46:10 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2025-11-12 17:46:10 | INFO | groq._base_client | Retrying request to /openai/v1/chat/completions in 2.000000 seconds
2025-11-12 17:46:13 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-11-12 17:46:22 | INFO | BotLogger | Analizando pregunta con Groq: que es el arte?
2025-11-12 17:46:22 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2025-11-12 17:46:22 | INFO | groq._base_client | Retrying request to /openai/v1/chat/completions in 29.000000 seconds
